time,n_oxygens_36,n_hydrogens_36,n_oxygens_35,n_hydrogens_35,n_oxygens_34,n_hydrogens_34,n_oxygens_33,n_hydrogens_33,n_oxygens_32,n_hydrogens_32,n_oxygens_31,n_hydrogens_31,n_oxygens_30,n_hydrogens_30,n_oxygens_29,n_hydrogens_29,n_oxygens_28,n_hydrogens_28,n_oxygens_27,n_hydrogens_27,n_oxygens_26,n_hydrogens_26
1230,7,9,6,15,7,14,5,7,5,16,7,11,3,10,6,11,6,12,6,10,5,11
1240,8,10,3,13,8,10,6,15,3,8,7,14,8,12,5,13,6,10,6,13,4,10
1250,2,7,6,12,9,15,4,10,8,10,5,17,8,7,3,14,8,11,3,12,6,11
1260,5,10,7,13,3,13,9,14,8,12,4,11,4,8,11,15,6,14,5,7,5,15
1270,5,8,6,11,3,7,10,15,6,14,4,8,8,15,5,9,5,8,5,10,5,13
1280,3,7,10,20,5,7,5,13,7,10,5,17,8,12,5,9,7,13,4,11,6,10
1290,7,13,6,7,6,12,7,18,6,16,6,11,6,15,5,10,4,12,9,14,4,12
1300,4,12,7,14,6,13,6,9,8,13,6,13,3,9,4,12,7,12,4,14,8,14
1310,2,5,8,11,5,12,10,18,3,11,7,10,4,13,7,10,4,12,9,12,4,14
1320,5,15,8,13,6,12,4,8,9,16,5,12,7,14,5,15,7,12,7,11,5,9
1330,7,19,6,8,6,13,7,13,7,11,7,15,7,9,4,12,8,12,6,15,3,11
1340,6,18,9,14,5,10,4,9,7,12,6,12,5,8,7,13,9,17,3,9,5,5
1350,5,12,5,11,7,11,4,11,8,11,6,17,7,13,6,15,7,11,5,13,7,15
1360,6,9,4,10,4,10,8,13,3,14,6,8,8,14,9,10,3,17,7,11,9,20
1370,8,12,3,13,4,7,9,18,7,13,4,12,7,9,6,12,11,17,3,14,6,8
1380,6,10,6,16,6,7,2,8,7,15,7,10,3,10,8,12,4,15,8,10,4,10
1390,3,5,6,13,4,11,6,10,8,16,5,12,8,12,6,13,7,7,6,16,5,9
