time,n_oxygens_36,n_hydrogens_36,n_oxygens_35,n_hydrogens_35,n_oxygens_34,n_hydrogens_34,n_oxygens_33,n_hydrogens_33,n_oxygens_32,n_hydrogens_32,n_oxygens_31,n_hydrogens_31,n_oxygens_30,n_hydrogens_30,n_oxygens_29,n_hydrogens_29,n_oxygens_28,n_hydrogens_28,n_oxygens_27,n_hydrogens_27,n_oxygens_26,n_hydrogens_26
1740,2,5,7,9,3,8,7,10,5,9,4,4,6,11,4,13,5,8,6,11,6,13
1750,3,5,5,10,4,8,4,11,4,6,7,11,3,7,6,11,5,9,7,13,5,14
1760,2,6,6,10,5,9,2,8,3,4,3,5,7,15,6,15,6,11,5,9,7,13
1770,7,6,3,12,6,5,4,15,7,6,3,11,5,7,8,16,1,9,7,7,5,16
1780,2,7,6,10,3,6,6,8,4,8,5,8,6,8,3,12,6,13,6,9,6,11
1790,3,7,5,10,4,6,4,11,5,10,5,13,4,6,6,11,6,14,5,13,8,10
1800,4,3,3,10,5,8,3,10,2,7,5,10,7,15,4,7,4,10,8,15,6,15
1810,4,4,8,14,4,11,6,8,4,5,3,7,5,13,4,10,7,10,2,16,11,12
1820,4,5,4,11,6,10,3,7,3,10,7,9,5,10,2,11,6,10,6,15,6,7
1830,3,5,7,9,5,11,6,11,8,13,3,4,3,9,7,12,8,12,3,14,7,10
1840,3,8,4,11,7,13,4,11,7,12,3,6,6,11,6,13,5,7,6,14,5,11
1850,4,12,5,8,7,15,7,13,3,10,5,10,7,9,4,9,4,10,7,12,4,10
1860,3,10,7,10,5,9,4,12,6,13,5,7,2,11,10,15,3,7,6,10,7,11
1870,4,7,6,11,8,11,4,13,8,12,6,11,2,10,4,12,5,8,8,16,6,15
1880,3,8,5,11,5,11,8,14,4,9,8,10,4,13,6,10,6,14,7,9,8,17
1890,7,8,3,10,7,12,6,16,7,10,3,10,6,12,9,10,3,14,6,13,7,13
1900,1,5,7,8,7,17,6,9,6,7,7,15,7,11,1,11,7,12,8,14,4,10
1910,5,3,8,16,4,12,4,9,3,6,8,13,8,14,3,10,7,12,8,14,4,6
1920,3,6,5,10,4,7,5,17,6,9,4,11,3,9,7,13,7,11,6,17,8,7
1930,4,7,5,9,2,8,11,13,3,13,6,7,7,20,4,7,7,12,5,12,6,15
1940,4,5,6,13,2,8,9,9,4,18,4,8,6,12,4,11,7,9,5,14,6,11
1950,6,11,4,9,6,16,5,8,5,11,5,5,2,10,9,13,3,14,9,11,6,14
1960,4,11,6,9,5,10,4,10,7,12,3,7,5,9,4,13,7,7,6,15,5,8
1970,5,8,4,11,6,12,5,10,5,11,4,10,3,8,9,13,5,13,6,9,3,11
1980,3,4,4,9,5,10,5,12,7,9,4,11,6,13,5,13,9,11,3,8,2,11
1990,2,5,7,10,5,10,8,12,4,10,5,11,3,10,11,13,3,15,8,8,5,16
2000,4,8,5,8,6,12,4,11,5,9,7,14,7,7,3,7,9,16,3,9,7,15
2010,1,3,8,15,5,11,7,12,7,10,4,8,4,13,8,15,7,9,7,15,9,15
2020,3,7,4,10,6,13,4,8,4,14,9,13,3,7,8,13,4,18,9,11,4,14
2030,4,5,6,12,5,12,4,9,7,10,3,13,9,11,6,18,7,9,4,12,8,18
2040,2,2,6,11,3,9,6,16,9,12,5,7,2,9,8,15,2,9,9,13,6,12
2050,3,4,5,11,6,14,8,15,7,14,5,5,4,16,10,13,5,15,6,11,11,16
2060,6,5,5,9,5,15,4,11,6,10,8,12,4,11,7,15,7,11,5,9,5,17
2070,4,8,9,14,4,11,5,6,7,11,2,10,7,13,7,16,4,8,8,14,8,14
2080,5,6,4,16,10,9,1,10,8,14,7,13,4,15,10,10,3,7,4,13,9,15
2090,7,12,7,15,3,8,5,11,6,13,6,12,8,13,6,12,5,9,5,8,6,10
2100,3,6,5,9,5,9,7,14,4,11,6,8,4,11,8,16,8,11,2,8,7,17
2110,6,13,5,8,7,12,6,14,7,10,3,9,7,9,6,13,5,10,3,8,8,17
2120,4,12,8,14,4,7,5,12,7,12,5,13,5,12,7,14,8,16,7,12,4,13
2130,5,9,6,12,8,11,2,12,8,11,6,12,5,12,6,11,4,9,5,11,7,10
2140,4,7,8,16,5,12,5,8,4,10,5,13,6,12,7,13,6,16,5,11,9,13
2150,5,8,6,12,5,10,4,8,6,7,4,11,7,15,4,7,5,14,6,11,7,12
2160,4,7,5,8,7,14,3,14,7,8,4,8,5,14,6,12,1,7,7,13,7,16
2170,5,10,5,8,3,7,7,14,5,11,3,9,7,13,7,13,4,7,5,11,4,13
2180,4,8,3,7,7,13,3,11,5,10,5,11,5,9,5,12,7,9,7,14,5,11
2190,3,7,5,8,4,13,6,11,4,7,6,6,2,10,7,12,4,7,3,9,5,10
2200,3,6,4,7,7,15,4,10,6,8,5,14,5,8,4,12,8,10,6,10,4,13
2210,7,8,1,11,7,10,4,12,4,6,6,9,4,14,9,8,4,13,6,11,6,12
2220,5,9,6,14,6,9,1,9,6,9,5,11,6,8,3,12,9,14,1,7,11,16
