coulomb,lj
-656.6090278625488,-80.03239440917969
-603.931529045105,-79.47066497802734
-601.0787324905396,-70.9652328491211
-646.2230567932129,-61.73078155517578
-565.4946479797363,-93.87568664550781
-645.8362407684326,-74.14347839355469
-605.2175025939941,-75.74752807617188
-629.4468240737915,-85.818603515625
-624.8116512298584,-79.50150299072266
-659.3462800979614,-84.58486938476562
-573.1781768798828,-79.75689697265625
-678.3300132751465,-69.95711517333984
-635.5184879302979,-62.65020751953125
-605.4000282287598,-87.12249755859375
-629.9953708648682,-68.83995056152344
-633.8021965026855,-67.09709167480469
-654.7082633972168,-63.80351257324219
-646.225227355957,-72.24968719482422
-648.4196147918701,-71.72432708740234
-595.8626766204834,-93.38490295410156
-644.0499649047852,-77.37107849121094
-594.7037467956543,-92.22367858886719
-571.4722385406494,-103.90878295898438
-641.5618476867676,-75.69427490234375
-616.6785469055176,-87.06100463867188
-676.2084350585938,-76.09733581542969
-624.0515117645264,-85.40315246582031
-634.0483646392822,-72.78426361083984
-577.5698375701904,-82.57659912109375
-703.8395938873291,-62.24833297729492
-660.8367691040039,-70.58064270019531
-671.6357173919678,-76.34607696533203
-612.3282737731934,-84.91552734375
-629.4594955444336,-94.30073547363281
-618.5652332305908,-53.638938903808594
-583.7185668945312,-81.80018615722656
-616.3870792388916,-80.73420715332031
-632.7921466827393,-85.05412292480469
-630.8231506347656,-66.61054229736328
-636.4184226989746,-66.50724792480469
-721.7688417434692,-64.98388671875
-657.6851806640625,-76.79664611816406
-707.3859701156616,-81.92735290527344
-616.5244655609131,-79.6844253540039
-673.7024478912354,-93.53780364990234
-656.7209901809692,-70.30154418945312
-641.3593482971191,-87.6910400390625
-597.3696136474609,-85.75456237792969
-682.4257926940918,-70.4597396850586
-699.5196228027344,-67.56385803222656
-627.4609041213989,-63.66011047363281
-622.9498519897461,-81.32701110839844
-615.7198839187622,-75.32841491699219
-648.2401752471924,-84.8117446899414
-582.3121299743652,-81.16495513916016
-611.5143547058105,-75.08523559570312
-600.603681564331,-100.9908447265625
-609.8504886627197,-93.9822769165039
-626.2938070297241,-98.68606567382812
-672.885763168335,-74.21536254882812
-587.4103889465332,-85.23872375488281
-616.1318321228027,-87.37059020996094
-591.5344276428223,-90.11190795898438
-597.7920236587524,-92.03068542480469
-648.0470390319824,-86.56214904785156
-643.2257041931152,-86.06381225585938
-642.8907489776611,-73.31455993652344
-667.0398635864258,-67.9253158569336
-638.5030879974365,-89.03782653808594
-661.4896860122681,-76.04556274414062
-582.5725021362305,-83.5819091796875
-593.1494312286377,-74.5722427368164
-655.2935266494751,-82.32452392578125
-623.9092426300049,-69.50985717773438
-684.7146759033203,-78.13373565673828
-634.334020614624,-72.59049987792969
-683.927547454834,-82.12721252441406
-647.9966974258423,-73.18800354003906
-649.0628824234009,-91.66687774658203
-578.637300491333,-88.62206268310547
-680.0167217254639,-82.24750518798828
-644.6291904449463,-84.66671752929688
-581.1826839447021,-86.7108154296875
-665.7269401550293,-82.67671203613281
-616.9933128356934,-99.10106658935547
-702.634105682373,-76.80706024169922
-655.6475276947021,-84.38838195800781
-593.5789566040039,-82.19412231445312
-668.2125034332275,-86.17221069335938
-678.8607711791992,-75.95288848876953
-607.3479232788086,-78.81571197509766
-613.3675556182861,-81.51542663574219
-601.4548654556274,-89.39628601074219
-603.9376239776611,-86.55963897705078
-614.6919212341309,-84.24434661865234
-620.6608390808105,-86.77989196777344
-608.6892509460449,-88.65704345703125
-657.373966217041,-64.43595886230469
-660.0503749847412,-73.07072448730469
-723.1584415435791,-51.91035842895508
-643.1246089935303,-84.95108795166016
-675.5348386764526,-56.415706634521484
-650.3599529266357,-87.40253448486328
-651.5447025299072,-96.97415924072266
-598.0566673278809,-86.08265686035156
-645.9679651260376,-79.7313232421875
-653.3207130432129,-76.81155395507812
-661.7546329498291,-69.84009552001953
-666.0565338134766,-91.05146026611328
-623.1151332855225,-83.63217163085938
-737.5081596374512,-76.97259521484375
-593.3735914230347,-92.7219009399414
-639.1169300079346,-82.47137451171875
-640.1112976074219,-61.036277770996094
-652.8721542358398,-72.07369995117188
-655.4704923629761,-62.33834457397461
-667.6104068756104,-74.21067810058594
-616.2731075286865,-89.24665069580078
-617.6346969604492,-66.92547607421875
-582.8580055236816,-84.22238159179688
-604.9973163604736,-71.5255126953125
-645.7769184112549,-69.97928619384766
-582.388313293457,-85.64303588867188
-605.0981521606445,-87.07173156738281
-581.8369979858398,-61.2740592956543
-621.2489566802979,-80.88896179199219
-636.5455265045166,-74.8801498413086
-649.0531272888184,-83.92988586425781
-637.716911315918,-87.14315032958984
-578.893087387085,-82.98289489746094
-638.4531059265137,-85.74656677246094
-688.8807353973389,-79.20726013183594
-661.9055576324463,-66.03231811523438
-589.0081386566162,-77.76195526123047
-612.0097389221191,-89.40614318847656
-621.0154705047607,-68.77289581298828
-716.5561904907227,-91.34626770019531
-609.5332450866699,-79.16044616699219
-750.6651020050049,-69.46446990966797
-628.7166652679443,-82.49142456054688
-568.3842544555664,-93.57263946533203
-627.2122955322266,-86.61863708496094
-695.4444541931152,-78.53106689453125
-605.4296836853027,-90.63345336914062
-612.2290859222412,-90.94152069091797
-614.7447910308838,-96.15524291992188
-586.2108106613159,-103.74079895019531
-635.316276550293,-72.94973754882812
-735.0221042633057,-53.873756408691406
-680.614429473877,-83.89900207519531
-640.9179859161377,-93.74613952636719
-689.1379470825195,-97.08759307861328
-616.7935380935669,-79.79149627685547
-633.8992700576782,-86.1561050415039
-605.8696794509888,-103.28536224365234
-661.1512870788574,-59.72005844116211
-699.1585035324097,-77.0338134765625
-688.9343547821045,-71.24751281738281
-632.1513118743896,-84.57685852050781
-702.5795936584473,-68.63815307617188
-666.3883247375488,-65.87077331542969
-621.3716058731079,-86.37406158447266
-608.244068145752,-79.0277099609375
