Rg,Ree
0.933469,1.53
0.978823,1.477
0.979467,1.568
0.973795,1.663
0.966393,1.519
0.985779,1.712
0.986569,3.105
0.983667,3.101
0.962197,3.066
0.969852,3.005
1.23162,3.333
0.963874,2.995
1.20277,3.288
0.972017,3.006
1.1574,2.948
0.950642,2.899
0.968791,2.947
1.14464,3.154
1.14217,3.155
1.15828,3.172
1.13528,3.014
1.1506,3.102
1.14035,3.068
1.1311,3.104
1.14343,3.233
1.13153,3.211
1.13742,3.221
0.897064,1.76
1.28463,3.249
0.857162,1.685
1.31683,3.305
1.30296,3.362
1.28613,3.753
1.25615,3.623
1.37833,3.322
1.36007,3.236
1.32986,3.367
1.35424,3.258
1.19527,3.609
1.20242,3.624
1.23034,3.189
1.24655,3.194
1.24138,3.173
1.22601,3.049
0.964229,1.361
0.973074,1.45
0.974388,2.497
1.30926,3.784
1.2762,3.609
1.27952,3.809
1.26125,3.546
1.26733,3.658
1.29699,3.641
1.30941,3.734
1.32595,3.814
0.994586,2.681
1.3594,3.857
0.990272,2.527
1.00741,2.376
1.32922,3.896
1.35792,3.985
1.34977,4.065
1.00278,2.78
1.01579,2.739
1.01056,2.715
1.34043,4.085
1.32054,3.992
0.837446,2.392
0.85201,2.414
0.846608,2.374
0.845335,2.342
0.828466,2.443
0.849446,2.514
1.25561,2.682
1.2741,2.821
1.3233,2.993
0.910099,2.58
0.898249,2.541
0.882777,2.528
0.869863,2.503
0.854765,2.658
0.830513,2.51
0.850328,2.528
0.911369,2.729
0.937803,2.591
0.95356,2.537
0.963149,2.591
0.965628,2.694
0.968867,2.735
0.957327,2.792
0.898257,2.682
0.91644,2.684
0.925462,2.76
0.953576,2.849
0.959384,2.77
0.971295,2.851
0.799435,2.281
0.803171,2.418
0.959003,2.761
0.824929,2.431
0.955935,1.599
0.814667,2.359
0.802164,2.273
0.93317,1.403
0.941247,1.336
0.803171,2.314
0.791442,2.348
0.810862,2.381
0.803417,2.221
0.816344,2.314
0.96516,1.373
0.950129,1.416
0.952161,1.358
0.968854,1.435
0.954899,1.502
0.963747,1.533
0.936629,1.332
0.941694,1.278
0.965486,1.226
1.35857,3.875
1.34946,3.813
1.3751,3.863
0.953824,1.369
0.969949,1.798
0.926436,1.663
0.970826,1.288
0.738016,1.915
0.927439,1.691
0.93074,1.615
0.727568,1.799
0.706186,1.814
0.883042,1.592
0.893129,1.659
0.707025,1.79
0.893799,1.562
0.890106,1.504
0.859793,1.511
0.716845,1.87
0.708496,1.774
0.967547,1.083
