Rg,Ree
1.13162,3.69
1.12376,3.705
1.1324,3.773
1.14356,3.831
1.17518,3.925
0.848028,1.858
1.16257,3.732
1.15562,3.904
1.17775,3.832
1.16793,3.695
1.19126,3.714
1.41925,3.184
0.994974,2.125
0.814321,1.182
0.809801,1.257
1.40719,3.229
0.816449,1.258
1.41132,3.072
1.41363,3.131
1.41732,3.04
1.398,3.129
1.38497,3.322
1.44413,3.083
1.45552,3.219
1.41469,3.375
1.4064,3.357
1.39258,3.446
1.35175,3.578
1.3187,3.538
1.38256,3.763
1.41574,3.622
0.942872,1.358
0.929648,1.406
0.930063,1.369
1.48015,3.263
1.41579,3.473
0.960956,2.03
0.949244,1.47
0.960524,2.098
0.95906,2.073
0.90108,1.298
0.925429,1.342
0.913365,1.344
0.983979,2.861
0.996149,2.155
0.928933,1.526
1.00062,2.8
0.915941,1.537
0.898739,1.379
0.877262,1.282
1.04712,2.822
1.00207,2.633
1.00821,2.717
1.0273,2.702
0.82312,0.928
0.815211,0.962
0.822554,1.048
1.03664,2.592
0.990308,2.366
0.973461,2.409
0.985159,2.574
0.817514,1.092
0.828731,1.002
0.844775,1.249
0.838563,1.277
0.944291,1.678
0.949696,1.926
0.966224,1.923
1.40396,3.181
1.40902,3.195
1.4021,3.07
1.40494,3.101
1.36063,3.102
1.38202,3.103
0.959136,1.843
0.962249,1.917
0.977697,1.825
1.34048,3.176
1.35909,3.232
1.35313,3.192
1.33743,3.422
0.967931,1.895
0.985447,1.897
0.98117,1.771
0.939774,1.717
0.952148,1.711
1.06819,2.727
1.06812,2.836
1.05712,2.707
0.784592,0.69
1.04534,2.792
1.073,2.785
0.792508,0.751
0.766666,0.861
0.753538,0.844
0.762151,0.968
0.766534,1.029
0.759061,0.96
0.75436,0.93
1.14755,2.563
1.14285,2.415
1.14381,2.565
1.11943,2.455
1.00408,2.079
1.13608,2.58
0.754042,0.832
0.742072,0.919
0.966988,1.964
0.941432,1.829
0.966127,3.124
1.01462,3.399
0.973767,3.235
1.00712,3.42
1.13849,2.574
1.13617,2.431
1.14162,2.404
1.1319,2.426
1.13215,2.437
1.12088,2.426
1.1388,2.391
1.13297,2.459
1.13621,2.543
1.15149,2.464
1.18854,2.627
1.21344,2.721
1.21697,2.673
1.22036,2.533
1.18553,2.431
1.15378,2.313
0.793974,1.831
1.15313,2.41
1.17635,2.467
1.17777,3.954
0.79481,1.866
0.775464,1.768
1.23039,3.937
1.18824,3.903
0.774116,1.887
1.00844,2.217
1.00506,2.124
1.01289,2.313
0.794948,1.88
0.774858,1.871
0.766435,1.885
