Rg,Ree
1.43291,4.004
1.02768,1.608
1.22662,3.735
0.97552,1.33
0.969102,1.318
0.967163,1.435
1.23149,3.863
1.25663,4.037
0.960297,1.272
1.24578,3.746
1.5306,3.548
1.55714,3.693
1.09022,3.393
1.13374,3.54
1.25508,3.628
1.01268,2.151
1.04589,2.085
1.18977,3.374
1.19738,3.363
1.19,3.415
1.396,3.028
1.37541,3.275
1.15492,3.22
1.53801,3.095
1.54782,3.339
1.52779,3.494
1.53681,3.409
1.46002,3.576
1.48361,3.673
0.947685,1.379
0.920254,1.336
0.931848,1.341
0.900959,1.201
1.39884,4.083
1.35692,3.983
1.52226,2.714
1.30631,4.084
1.3202,4.157
1.14337,2.416
1.13478,2.22
1.18243,3.557
1.10643,1.987
1.23114,3.288
1.22339,3.068
1.24357,4.001
1.23629,3.973
1.26547,4.032
1.0729,3.535
1.17472,3.746
1.15785,3.666
1.09278,3.425
1.1305,3.545
0.889753,1.627
1.09524,3.357
1.20356,2.629
1.19071,3.665
1.18516,2.963
1.18298,3.917
1.21508,4.004
1.2036,3.818
1.17814,3.656
1.17703,3.785
0.947866,2.315
0.902959,1.839
0.904314,1.959
1.03384,3.456
1.03893,3.294
1.0185,3.049
1.04776,1.673
0.871355,1.685
0.875347,1.773
0.914912,1.853
0.894796,1.831
1.06693,1.775
1.14939,2.166
1.12543,2.229
1.00417,1.631
1.09297,1.942
1.05171,1.98
1.10931,2.138
1.14779,2.359
1.17382,2.292
1.24766,2.497
1.22296,2.686
1.23277,2.602
0.993106,1.432
1.0241,1.805
1.02653,1.947
1.04284,2.114
1.05605,2.338
1.26865,2.97
1.04463,2.078
1.01245,2.785
1.0714,2.962
1.07401,2.993
0.988104,2.37
0.907463,2.255
1.02589,2.518
1.06917,1.967
1.03848,1.779
1.39161,3.349
1.40406,3.165
1.04451,1.757
1.22767,3.501
1.19396,3.469
1.2557,3.279
1.21875,3.465
1.23076,3.355
1.28407,3.589
1.30879,3.338
1.04453,2.963
1.28733,3.629
1.32655,3.134
1.27088,3.237
1.28209,3.079
1.07892,2.924
1.09039,3.531
1.11908,3.014
1.08778,2.852
1.07972,2.999
1.06428,2.567
1.24314,3.516
1.1935,3.229
1.21135,3.182
1.05407,3.036
1.24302,3.52
1.19165,3.236
1.13096,2.893
1.06439,2.797
1.05723,2.455
0.899996,2.132
1.19202,2.613
1.15553,2.595
1.21935,2.887
1.18181,2.791
1.20819,2.677
1.19984,2.813
1.08359,2.465
1.07691,2.547
1.10186,2.702
1.19784,3.106
1.24186,3.012
1.25637,3.211
0.96197,1.758
0.948695,1.809
1.05693,3.195
1.04798,3.168
1.02277,3.151
1.03916,2.57
1.03768,2.986
1.01281,2.973
1.05946,2.938
1.10669,3.259
1.07788,3.137
1.39154,3.159
1.1211,3.256
1.20052,3.514
1.05518,3.156
1.20483,3.49
1.20661,3.351
1.20688,3.447
1.05165,1.944
1.04726,1.977
1.19902,3.285
1.20288,3.262
1.20929,3.357
1.05797,2.71
1.13896,3.519
1.22368,3.701
1.12321,2.958
1.08995,2.877
1.07152,2.788
0.975238,2.208
1.12062,2.234
1.11591,2.402
0.913091,1.65
1.10739,2.69
1.11465,2.816
1.19921,2.647
1.17007,3.015
1.32334,3.0
1.12802,2.836
1.03195,2.333
0.999925,2.399
1.38959,3.458
1.28526,3.876
1.26454,3.902
0.933291,2.529
1.21673,3.727
1.16357,3.531
1.19298,3.605
1.15894,3.497
1.16668,3.606
1.18743,3.527
1.16013,3.394
1.0076,2.781
0.925238,2.767
0.99966,2.7
0.994079,2.571
0.891862,2.498
0.896212,2.529
0.921973,2.724
0.894159,2.634
1.05986,1.943
0.929329,2.815
0.892274,2.661
0.926397,2.603
1.04245,2.398
1.06824,1.822
1.08091,1.826
1.05081,2.567
1.06442,2.799
0.925954,2.447
0.938448,2.629
0.922583,2.596
0.892934,2.455
0.890561,2.471
0.905212,2.538
0.868248,2.434
1.21387,3.453
0.877889,2.361
1.13981,3.49
1.17328,3.421
1.01294,2.109
1.06305,2.099
0.950544,1.527
1.02225,1.689
0.932068,1.62
1.0036,1.746
1.01766,1.754
1.04635,1.831
0.906867,1.285
1.07408,2.158
1.03109,2.352
1.06463,2.44
1.0232,2.25
0.975449,2.694
1.03532,2.867
1.02813,2.985
1.23383,3.395
1.21036,3.163
1.16625,2.864
1.16539,2.987
1.15428,3.005
1.15302,3.119
1.18357,3.11
1.06137,3.138
1.03102,3.017
1.22344,3.39
1.02209,2.997
1.24038,3.018
1.27004,3.297
1.2458,3.171
1.36634,3.575
1.41465,3.782
1.36281,3.863
1.32838,3.896
1.36879,3.941
1.40396,3.941
1.34173,3.775
1.30743,3.722
1.27494,3.566
1.15841,3.349
1.19329,3.286
1.14148,3.32
1.45328,2.665
1.46444,2.787
1.10882,3.381
0.911273,1.216
0.922258,1.326
1.09679,3.413
1.11211,2.861
1.05352,2.731
1.14581,3.516
1.11684,3.164
1.16938,3.086
1.23205,3.536
1.27301,3.741
1.07521,2.839
1.10411,3.013
1.07044,2.928
1.15247,3.165
1.09576,2.682
1.23637,3.461
1.2408,3.369
1.18403,3.36
1.2342,3.42
1.22024,3.436
1.22334,3.279
1.03593,3.322
1.04381,3.206
1.02447,3.227
1.06163,3.499
1.06183,2.592
1.06039,2.525
1.09037,2.563
0.809407,1.99
0.812502,1.984
1.03888,3.671
1.02183,3.575
1.04725,3.595
1.06115,2.451
0.797272,1.949
0.807266,2.048
0.784549,1.835
1.047,2.162
1.10794,3.918
1.06917,2.22
1.08279,2.168
1.15932,2.687
1.15044,2.787
1.14708,2.929
1.15054,2.756
0.888096,2.148
1.06271,3.119
1.00669,3.041
1.00844,2.074
1.01023,2.905
0.99579,2.903
1.00272,2.96
0.839113,1.192
0.959826,1.635
0.834174,1.036
0.861481,1.107
0.851841,1.053
0.874527,1.75
0.820804,1.047
0.824131,1.225
0.977383,2.342
0.991075,2.195
0.941054,1.629
