coulomb,lj
-13062.9765625,-1282.779296875
-12961.32421875,-1411.24072265625
-12875.671875,-1377.8067626953125
-13349.0234375,-1519.757080078125
-13135.341796875,-1502.4459228515625
-13437.314453125,-1310.822265625
-12654.583984375,-1262.896240234375
-12806.203125,-1476.891845703125
-13249.091796875,-1224.0780029296875
-12829.96875,-1417.32763671875
-12887.521484375,-1269.391357421875
-12802.63671875,-1357.79345703125
-12439.71484375,-1269.52001953125
-13176.376953125,-1487.65283203125
-13136.119140625,-1334.640869140625
-12502.8359375,-1520.384765625
-12805.41796875,-1313.1737060546875
-12687.654296875,-1358.917724609375
-13093.275390625,-1367.96533203125
-12862.40234375,-1360.8646240234375
-12305.259765625,-1582.88330078125
-12595.3046875,-1535.037353515625
-13252.9140625,-1352.732666015625
-12730.55859375,-1420.9969482421875
-12462.857421875,-1549.1981201171875
-12653.927734375,-1230.8533935546875
-12858.365234375,-1357.2154541015625
-12827.708984375,-1406.8192138671875
-12514.98046875,-1459.619140625
-12987.296875,-1371.526611328125
-12692.0546875,-1398.7879638671875
-12567.794921875,-1495.169677734375
-12581.5234375,-1368.2376708984375
-12405.740234375,-1438.332275390625
-12897.705078125,-1358.9217529296875
-12689.068359375,-1473.009521484375
-12927.814453125,-1546.7138671875
-12520.0234375,-1492.9146728515625
-12776.767578125,-1378.24560546875
-12841.98828125,-1403.5955810546875
-12840.04296875,-1376.98828125
-13466.150390625,-1360.843994140625
-12796.2578125,-1401.62939453125
-12777.904296875,-1309.267333984375
-13194.875,-1264.283447265625
-12850.9453125,-1393.3165283203125
-12771.029296875,-1500.295166015625
-12559.62109375,-1506.806640625
-12618.986328125,-1324.552978515625
-12860.953125,-1349.2579345703125
-12645.4140625,-1584.6199951171875
-13001.8515625,-1319.6224365234375
-12793.271484375,-1526.695068359375
-12642.35546875,-1369.9700927734375
-12626.6640625,-1404.176513671875
-13042.671875,-1348.2103271484375
-12991.751953125,-1356.0689697265625
-12826.97265625,-1482.46240234375
-12513.939453125,-1460.2847900390625
-13026.34375,-1375.4124755859375
-12955.091796875,-1409.541015625
-12359.033203125,-1472.907470703125
-12641.095703125,-1419.2508544921875
-12327.474609375,-1471.1165771484375
-12997.451171875,-1283.873046875
-13067.908203125,-1338.32568359375
-13120.6171875,-1462.669921875
-13028.171875,-1444.332763671875
-12554.26171875,-1591.55322265625
-12952.75390625,-1434.53466796875
-13054.4375,-1451.5130615234375
-12768.546875,-1335.421875
-12525.185546875,-1442.46142578125
-12653.705078125,-1328.057861328125
-13090.1171875,-1367.069091796875
-13549.140625,-1150.6707763671875
-12869.671875,-1281.0609130859375
-13133.3671875,-1478.771240234375
-12779.326171875,-1194.21923828125
-12878.4296875,-1432.7366943359375
-12589.17578125,-1443.88427734375
-12740.794921875,-1265.778076171875
-12679.50390625,-1374.20654296875
-12702.02734375,-1375.205078125
-12327.982421875,-1506.56201171875
-12468.763671875,-1397.310546875
-12966.82421875,-1345.1552734375
-13011.189453125,-1290.862060546875
-13296.099609375,-1196.7734375
-13280.001953125,-1368.9208984375
-12863.767578125,-1195.8385009765625
-12600.744140625,-1297.922119140625
-12591.7578125,-1398.1524658203125
-12300.798828125,-1388.184814453125
-12784.2578125,-1407.6005859375
-12561.953125,-1393.9595947265625
-12794.44140625,-1362.798095703125
-13089.818359375,-1403.25048828125
-12767.1171875,-1342.847412109375
-12391.47265625,-1429.87255859375
-12300.90625,-1379.1494140625
-11994.515625,-1557.640625
-12168.3984375,-1361.18798828125
-11950.638671875,-1613.365966796875
-12229.591796875,-1302.391357421875
-12775.505859375,-1415.196044921875
-12137.4296875,-1369.40673828125
-12105.77734375,-1305.9720458984375
-13077.08203125,-1265.3470458984375
-12772.955078125,-1378.2021484375
-12833.03515625,-1289.43896484375
-12732.458984375,-1237.448486328125
-12642.03515625,-1375.4957275390625
-12413.6171875,-1397.089599609375
-12811.576171875,-1321.1292724609375
-12794.693359375,-1466.3834228515625
-13203.642578125,-1316.3916015625
-12860.216796875,-1535.369873046875
