coulomb,lj
-10208.814453125,-1456.636962890625
-10466.13671875,-1395.49365234375
-9853.7890625,-1583.9580078125
-10333.2578125,-1432.589111328125
-10500.3203125,-1324.743408203125
-10062.544921875,-1549.5775146484375
-10392.11328125,-1599.01416015625
-10216.171875,-1485.96142578125
-10340.76953125,-1474.99462890625
-10497.72265625,-1438.98828125
-10032.935546875,-1626.786376953125
-10223.56640625,-1637.79638671875
-10139.35546875,-1541.63671875
-10259.2890625,-1434.28125
-9924.044921875,-1627.56689453125
-10169.65234375,-1582.28466796875
-10484.16796875,-1442.850830078125
-10379.1640625,-1551.1239013671875
-9995.583984375,-1553.303466796875
-10534.7890625,-1595.388671875
-10392.12109375,-1461.03662109375
-10544.2109375,-1306.7086181640625
-10756.3125,-1400.537109375
-10377.478515625,-1411.326904296875
-9895.57421875,-1495.767333984375
-10149.837890625,-1550.294189453125
-10290.27734375,-1514.2540283203125
-10046.408203125,-1377.783935546875
-9980.8046875,-1456.51611328125
-10595.4453125,-1548.864013671875
-10295.66015625,-1618.05712890625
-10518.08984375,-1611.480224609375
-10230.302734375,-1478.2314453125
-10433.46484375,-1321.51953125
-10133.046875,-1450.488525390625
-10289.662109375,-1490.34619140625
-10182.646484375,-1481.3505859375
-10086.99609375,-1579.4356689453125
-10686.08984375,-1514.1805419921875
-9714.501953125,-1586.664794921875
-10173.671875,-1430.934326171875
-10250.791015625,-1547.501953125
-9782.455078125,-1621.2818603515625
-9869.8671875,-1636.16357421875
-9993.89453125,-1525.304443359375
-10012.751953125,-1575.4495849609375
-10025.599609375,-1531.47412109375
-10405.50390625,-1505.6552734375
-10303.712890625,-1469.052734375
-10279.005859375,-1482.421142578125
-10312.26171875,-1493.164794921875
-10166.94140625,-1484.949951171875
-10708.71484375,-1412.484130859375
-10312.267578125,-1512.707275390625
-10323.40234375,-1547.6905517578125
-9915.65234375,-1566.65966796875
-10484.6484375,-1334.6051025390625
-10555.673828125,-1261.99560546875
-10427.3828125,-1552.163330078125
-10200.32421875,-1382.591796875
-10260.10546875,-1556.320068359375
-10161.35546875,-1420.638671875
-9999.8671875,-1478.6689453125
-10011.873046875,-1575.20361328125
-10170.58203125,-1479.4556884765625
-9904.232421875,-1574.9912109375
-9986.87890625,-1481.5865478515625
-10020.00390625,-1623.42431640625
-10046.05859375,-1544.04150390625
-9677.302734375,-1543.5052490234375
-9982.033203125,-1630.636962890625
-10161.15625,-1496.9425048828125
-9657.634765625,-1599.7177734375
-9298.392578125,-1545.7801513671875
-9473.78515625,-1571.141357421875
-9240.44921875,-1499.6376953125
-9781.474609375,-1365.77099609375
-10119.708984375,-1460.8753662109375
-9872.33203125,-1659.72607421875
